ids,labels,parents
K,WhatsApp<br>+81 70 1261 5795,
CHINA label,CHINA,K
AUDI label,AUDI,K
BRITAIN Other label,BRITAIN Other,K
BMW label,BMW,K
GERMANY other label,GERMANY other,K
USA label,USA,K
FRANCE label,FRANCE,K
DAIHATSU label,DAIHATSU,K
INDIA label,INDIA,K
ITALY label,ITALY,K
JAPAN other label,JAPAN other,K
HONDA label,HONDA,K
KOREA label,KOREA,K
LANDROVER label,LANDROVER,K
LEXUS label,LEXUS,K
SUZUKI label,SUZUKI,K
MAZDA label,MAZDA,K
MERCEDES label,MERCEDES,K
MITSUBISHI label,MITSUBISHI,K
NISSAN label,NISSAN,K
SWEDEN label,SWEDEN,K
CZECH label,CZECH,K
SUBARU label,SUBARU,K
TOYOTA label,TOYOTA,K
VOLKSWAGEN label,VOLKSWAGEN,K
VOLVO label,VOLVO,K
AIWAYS,AIWAYS,CHINA label
AUDI,AUDI,AUDI label
BENTLEY,BENTLEY,BRITAIN Other label
BMW,BMW,BMW label
BRABUS,BRABUS,GERMANY other label
BYD,BYD,CHINA label
CADILLAC,CADILLAC,USA label
CHERY,CHERY,CHINA label
CHEVROLET,CHEVROLET,USA label
CHRYSLER,CHRYSLER,USA label
CITROEN,CITROEN,FRANCE label
DAIHATSU,DAIHATSU,DAIHATSU label
DODGE,DODGE,USA label
DONGFENG,DONGFENG,CHINA label
EICHER ,EICHER ,INDIA label
FAW,FAW,CHINA label
FERRARI,FERRARI,ITALY label
FIAT,FIAT,ITALY label
FORD,FORD,USA label
FOTON,FOTON,CHINA label
GREAT WALL,GREAT WALL,CHINA label
HAVAL,HAVAL,CHINA label
HINO,HINO,JAPAN other label
HONDA,HONDA,HONDA label
HUMMER,HUMMER,USA label
HYUNDAI,HYUNDAI,KOREA label
ISUZU,ISUZU,JAPAN other label
IVECO,IVECO,ITALY label
JAC,JAC,CHINA label
JAGUAR,JAGUAR,BRITAIN Other label
JEEP,JEEP,BRITAIN Other label
KIA,KIA,KOREA label
LANDROVER,LANDROVER,LANDROVER label
LEXUS,LEXUS,LEXUS label
MAN,MAN,GERMANY other label
MAZDA,MAZDA,MAZDA label
MERCEDES,MERCEDES,MERCEDES label
MINI,MINI,BRITAIN Other label
MITSUBISHI,MITSUBISHI,MITSUBISHI label
NETA,NETA,CHINA label
NIO,NIO,CHINA label
NISSAN,NISSAN,NISSAN label
OPEL,OPEL,GERMANY other label
PEUGEOT,PEUGEOT,FRANCE label
PORSCHE,PORSCHE,GERMANY other label
RENAULT,RENAULT,FRANCE label
ROLLS-ROYCE,ROLLS-ROYCE,BRITAIN Other label
